project,revision,path.method
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateNamespaceWrapper(PrintWriter);protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageIdHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageIdSourceGenerator.java#protected_void_generateAdditionalConstructors(PrintWriter);protected_String_generateInitializerList();protected_void_generateAdditionalMethods(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_generateToStringBody(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageSourceGenerator.java#protected_void_populateIncludeFilesSet();protected_String_generateInitializerList();protected_void_generateCopyDataStructureBody(PrintWriter);protected_void_generateToStringBody(PrintWriter);protected_void_generateEqualsBody(PrintWriter);protected_void_generateCompareToBody(PrintWriter);protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ProducerIdHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ProducerIdSourceGenerator.java#protected_void_generateAdditionalConstructors(PrintWriter);protected_String_generateInitializerList();protected_void_generateAdditionalMethods(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_generateToStringBody(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ProducerInfoSourceGenerator.java#protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/SessionIdHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateForwardDeclarations(PrintWriter);protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/SessionIdSourceGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateToStringBody(PrintWriter);protected_String_generateInitializerList();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/SessionInfoHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
